order,happiness,comment
42,1,"The school has a good educational reputation. However, your social life and your happiness is screwed in this school. Do not put this institute as your first priorities unless you are somebody who does NOT enjoy socializing with people. The place that this school is located (Troy, NY) is one of the creepiest places in USA (Just google the city!)."
43,3,Work hard play hard
44,5,Why not change the world? Come to RPI.
45,5,RPI is cool
46,4,"RPI is a really good fit for me. I have a lot of friends and am challenged by academics, but nothing is out of the realm of being doable."
47,1,"The school is great- if you like putting your nose to the grindstone and spending most of your free time studying. There are plenty of parties, although they're less parties and more professional drinking gatherings. As the old saying goes, RIP at RPI"
48,2,"RPI is really good if you're an engineer. If you're anything else, find someplace better. Many other departments are an after thought to the engineering school and don't have any of the resources or opportunities you would find at any other school of similar prestige or cost."
49,1,"For all the money tuition takes, this school is utter garbage. Almost no building anywhere on campus has air conditioning; the school's LMS site is down constantly; a chunk of professors are terrible; and the administration is bloated and inept, to say the least. Almost every casual conversation with students is about how awful RPI is for its cost."
50,2,Great engineering school!!!
51,5,I really enjoy it here. Great and challenging learning experience. Excellent experiences and resources for any student wanting to become and entrepreneur.
52,1,"Great people and clubs. The administration is seriously messed up. They jack up tuition whenever they feel like it. Most of the professors are only temporary, so the school doesn't have to pay them as much as the few tenured professors. Classes are awful with 100+ students in most classes for the first two years. Don't go if you're not an engineer."
53,3,"Mostly nice place surrounded by a really bad neighborhood next to a downtown that was once booming and now is slummy. A car helps, but is not necessary, and parking's a bit tight anyway. Lots of opportunities if you make them. The friends you make there are absolutely with you for life (I'm 19 years out.) Make friends quick and get on hockey line!"
54,3,"You will learn a lot, but you will be worked to the ground"
55,5,"People think Troy is scary but it's really not. There's a ton of good food around off campus, social scene is really good parties are really accessible, especially if you are a girl. Courses are interesting, but some can be crazy difficult. So far I'm maintaining Dean's List and still have a boyfriend and job and social life."
56,3,"RPI has a great reputation with strong programs, but it's plagued with bureaucracy. Good luck getting paperwork done."
57,4,"Great place to learn like you have never learned before, lots of work, some hard, some easy, but ample time to do your own thing. Lots of people seem really stressed, but it seems like they came here that way. Great opportunities are abound and some of the clubs rock and many people are in greek life, but not me."
58,3,I liked it but it could've been better.
59,4,Go to RPI and it will prepare you for a wide variety of STEM careers if you are willing to put in the effort.
60,5,"Great school, challenging but rewarding"
61,3,A great school overall I love it. Here no stupid required humanities one only has to take a few of their own choosing so the school stays accredited.
62,5,I love it here. A great place if you are into math and science.
63,4,"This school is culturally diverse, and has so many opportunities if you go after them. Food could be better, but the staff is caring and really wants you to see you go as far as you can in your future career. Whether an engineering, a business major, an architect, HASS, or science, this campus is a place a lot of people would love to call home."
64,5,Typical competitive engineering school
65,3,Building a bunch of stuff they don't need
66,4,Really great if you want to succeed as an engineer.
67,3,"RPI will push you past your limits. For many classes, they basically make you struggle as hard as you can and then even out the grades at the end. But that work ethic is what gets you a job afterwards. Socially, RPI is what you make of it. Everyone can find friends to relate to, but not by sitting in your room all day."
68,5,Great school. Challenging academically. Student body is a little nerdy but its easy to find your niche.
69,4,The area around campus can be dangerous. But if you stay on campus it is safe and beautiful.
70,3,"It would be nice to focus more on teaching instead of neglecting students for research. However, the professors are all very bright, and the research programs are great if you are a graduate student."
71,5,"Coming to RPI was the best decision I've ever made. Everyone here is so nice and friendly. Even the professors are very approachable if you have a question. The classes are challenging, but that's because you're actually learning difficult stuff. There are plenty of resources to get help if you need it too. I can honestly say I love it here."
72,4,Very well-respected engineering school. The campus is beautiful. Love the upstate NY weather. Nerd culture is alive and thriving!
73,4,"Food is pretty awful to be honest, but you can get a lot out of this school. If you want to party, you can. It's not hard to find parties before the year starts, but being in Greek Life helps a lot. Classes are pretty hard and I'm still surprised that RPI is ranked so when 75% of the class of 2018 was in the top 10% of their high school class"
74,5,"It's a really nice school all around, and the education is top-notch."
75,5,"Extremely hard school. Beautiful grounds and good classes. Highly suggest this school for Comp Sci, science, engineering, or IT. If you can't handle a lot of work and hard classes though don't come here."
76,5,A very good school for studying
77,5,Go to rpi is my best decision ever. Love the school.
78,5,This is an awesome school
79,5,very well
80,5,"Difficult courses, great development of critical thinking skills. You will be challenged."
81,5,Beautiful campus located in an ok city with a great Engineering/Science program.
82,5,"A great 4 years, lots of friends, and lots of opportunities."
83,5,GO ENGINEERS
84,5,"There are a lot of ill-formed negative ideas about RPI. There is an abundance of things to do, people that are always nice and helpful, and social events, activities, clubs, and plenty of room for you to make your own sphere. GO RED."
85,5,no
86,5,"Great for undergrad research and also for internship, coop and full time opportunities. Maybe the ranking will say something else, but its a better undergrad engineering school than Cornell, CMU, Princeton."
87,5,Rensseaer is a little isolated but there is always something to do or places to go. I am so happy to have found a place where I fit in so well.
88,5,No comment
89,5,"The education is amazing, but the city of Troy is kind of dead. However, things are changing at the school and in the city. There are also 250+ student organizations, so you can stay busy."
90,5,None
91,5,I think that this is a great school for engineering.
92,5,It's cold.
93,5,None
94,5,None.
95,5,None.
96,5,None.
97,5,None.
98,5,None.
99,5,None.
100,1,None.
101,5,Currently a junior in a 5 year program at RPI and I have no regrets making the decision to come here. It is A LOT of hard work (arch student speaking here) but the satisfaction you get from it is truly rewarding. I love the campus and the people I've met here. If you're not afraid to bring out your inner nerd a little then definitely consider RPI !
102,3,None.
103,5,"Yes this is a nerdy campus, but that doesn't mean there aren't things to do. There are hockey games which are always fun to go to, and there are plenty of clubs to join. The professors are ok, although you may get a few that are a little difficult to understand, and come to RPI prepared to have homework, but I would not change my attending RPI."
104,5,Definitely AMAZING for engineering majors. Professors are great and very helpful.The career service is top notch.
105,5,None.
106,5,Not Specified.
107,5,Not Specified.
108,1,Not Specified.
109,3,Not Specified.
110,5,Not Specified.
111,5,"Not for everyone, but if you like math and science and have a little bit of nerd in you, you'll thrive here. Definitely a lot of work, but it's worth it in the end. You might have to work a little to have a social life, but if that's your primary concern then this isn't the school for you."
112,5,Not Specified.
113,3,Not Specified.
114,1,"Everyone makes mistakes....this one cost me 4 years. Pick another school, any other school."
115,5,Excellent educational and entrepreneurial opportunities that you must pursue with your own initiative.
116,3,The dark and cold weather of Troy make winters even more difficult on top of the academics. Join clubs and Greek life if you want to enjoy your time on campus. The School is excellent and the staff is helpful. Make friends with upper classmates and work in groups to help you survive.
117,5,Not Specified.
118,5,Not Specified.
119,5,Not Specified.
120,1,Not Specified.
121,5,Not Specified.
122,5,Not Specified.
123,1,This school encourages self teaching. You will pay to teach yourself in 85% of your courses. Professors can be mean and simply are not good teachers. They are intellectuals who are interested in their research.
124,1,Not Specified.
125,5,"RPI isn't great in every way (avoid the politics), but I thought it was a wonderful school. The people make it what it is. The Union also has one of the most vibrant student communities in the country (funded and run by students), and while not every professor is amazing, the school has a healthy share of real gems."
126,5,Not Specified.
127,5,Not Specified.
128,1,Horrible School....What was I thinking&#63;
129,5,Not Specified.
